Axial position (m),Radius (m)
0,0.04778
0.001,0.04778
0.002,0.04778
0.003,0.04778
0.004,0.04778
0.005,0.04778
0.006,0.04778
0.007,0.04778
0.008,0.04778
0.009,0.04778
0.01,0.04778
0.011,0.04778
0.012,0.04778
0.013,0.04778
0.014,0.04778
0.015,0.04778
0.016,0.04778
0.017,0.04778
0.018,0.04778
0.019,0.04778
0.02,0.04778
0.021,0.04778
0.022,0.04778
0.023,0.04778
0.024,0.04778
0.025,0.04778
0.026,0.04778
0.027,0.04778
0.028,0.04778
0.029,0.04778
0.03,0.04778
0.031,0.04778
0.032,0.04778
0.033,0.04778
0.034,0.04778
0.035,0.04778
0.036,0.04778
0.037,0.04778
0.038,0.04778
0.039,0.04778
0.04,0.04778
0.041,0.04778
0.042,0.04778
0.043,0.04778
0.044,0.04778
0.045,0.04778
0.046,0.04778
0.047,0.04778
0.048,0.04778
0.049,0.04778
0.05,0.04778
0.051,0.04778
0.052,0.04778
0.053,0.04778
0.054,0.04778
0.055,0.04778
0.056,0.04778
0.057,0.04778
0.058,0.04778
0.059,0.04778
0.06,0.04778
0.061,0.04778
0.062,0.04778
0.063,0.04778
0.064,0.04778
0.065,0.04778
0.066,0.04778
0.067,0.04778
0.068,0.04778
0.069,0.04778
0.07,0.04778
0.071,0.04778
0.072,0.04778
0.073,0.04778
0.074,0.04778
0.075,0.04778
0.076,0.04778
0.077,0.04778
0.078,0.04778
0.079,0.04778
0.08,0.04778
0.081,0.04778
0.082,0.04778
0.083,0.04778
0.084,0.04778
0.085,0.04778
0.086,0.04778
0.087,0.04778
0.088,0.04778
0.089,0.04778
0.09,0.04778
0.091,0.04778
0.092,0.04778
0.093,0.04778
0.094,0.04778
0.095,0.04778
0.096,0.04778
0.097,0.04778
0.098,0.04778
0.099,0.04778
0.1,0.04778
0.101,0.04778
0.102,0.04778
0.103,0.04778
0.104,0.04778
0.105,0.04778
0.106,0.04778
0.107,0.04778
0.108,0.04778
0.109,0.04778
0.11,0.04778
0.111,0.04778
0.112,0.04774
0.113,0.0477
0.114,0.04767
0.115,0.04763
0.116,0.04759
0.117,0.04755
0.118,0.04747
0.119,0.04736
0.12,0.04726
0.121,0.04716
0.122,0.04706
0.123,0.04696
0.124,0.04685
0.125,0.04673
0.126,0.04662
0.127,0.04651
0.128,0.04639
0.129,0.04628
0.13,0.04617
0.131,0.04598
0.132,0.04579
0.133,0.04559
0.134,0.0454
0.135,0.0452
0.136,0.04494
0.137,0.04468
0.138,0.04442
0.139,0.04416
0.14,0.0439
0.141,0.04364
0.142,0.04339
0.143,0.04303
0.144,0.04266
0.145,0.0423
0.146,0.04194
0.147,0.04157
0.148,0.04121
0.149,0.04084
0.15,0.04044
0.151,0.04004
0.152,0.03965
0.153,0.03925
0.154,0.03886
0.155,0.03846
0.156,0.03806
0.157,0.03767
0.158,0.03727
0.159,0.03688
0.16,0.03648
0.161,0.03608
0.162,0.03569
0.163,0.03529
0.164,0.03496
0.165,0.03463
0.166,0.03431
0.167,0.03398
0.168,0.03365
0.169,0.03332
0.17,0.033
0.171,0.03267
0.172,0.03234
0.173,0.03202
0.174,0.03169
0.175,0.03145
0.176,0.03122
0.177,0.03099
0.178,0.03076
0.179,0.03053
0.18,0.0303
0.181,0.03007
0.182,0.02984
0.183,0.02961
0.184,0.02946
0.185,0.02932
0.186,0.02919
0.187,0.02905
0.188,0.02891
0.189,0.02878
0.19,0.02864
0.191,0.0285
0.192,0.02836
0.193,0.02823
0.194,0.02809
0.195,0.02803
0.196,0.02799
0.197,0.02795
0.198,0.02791
0.199,0.02787
0.2,0.02783
0.201,0.02779
0.202,0.02775
0.203,0.02773
0.204,0.02778
0.205,0.02783
0.206,0.02788
0.207,0.02793
0.208,0.02798
0.209,0.02803
0.21,0.02809
0.211,0.02814
0.212,0.0282
0.213,0.02831
0.214,0.02843
0.215,0.02854
0.216,0.02866
0.217,0.02877
0.218,0.02889
0.219,0.029
0.22,0.02912
0.221,0.02923
0.222,0.02936
0.223,0.02958
0.224,0.0298
0.225,0.03002
0.226,0.03024
0.227,0.03046
0.228,0.03068
0.229,0.0309
0.23,0.03112
0.231,0.03134
0.232,0.03156
0.233,0.03181
0.234,0.03209
0.235,0.03237
0.236,0.03265
0.237,0.03292
0.238,0.0332
0.239,0.03348
0.24,0.03374
0.241,0.034
0.242,0.03426
0.243,0.03451
0.244,0.03477
0.245,0.03503
0.246,0.03529
0.247,0.03556
0.248,0.03583
0.249,0.0361
0.25,0.03637
0.251,0.03664
0.252,0.03691
0.253,0.03718
0.254,0.03745
0.255,0.03772
0.256,0.03797
0.257,0.03823
0.258,0.03849
0.259,0.03874
0.26,0.039
0.261,0.03926
0.262,0.03951
0.263,0.03979
0.264,0.04008
0.265,0.04038
0.266,0.04067
0.267,0.04096
0.268,0.04126
0.269,0.04155
0.27,0.04183
0.271,0.0421
0.272,0.04237
0.273,0.04264
0.274,0.04292
0.275,0.04319
0.276,0.04346
0.277,0.04373
