Axial position (m), Coolant temperature (K), Coolant wall temperature (K),Flame wall temperature (from Twc) (K),Flame wall temperature (from Tgwad) (K),Flame adiabatic wall temperature (K)
0,43.516,74.491,135.837,nan,nan
0.005,41.977,102.39,174.895,nan,2952.315
0.01,40.438,146.603,229.417,nan,2950.827
0.015,40.997,212.497,304.49,nan,2949.339
0.02,45.461,292.468,393.716,nan,2948.983
0.025,49.925,396.623,521.252,nan,2948.983
0.03,54.388,514.102,663.065,2001.315,2948.983
0.035,58.266,629.99,815.129,1901.865,2948.983
0.04,61.345,740.739,950.097,1800.686,2948.983
0.045,64.423,829.617,1037.247,1705.593,2948.983
0.05,67.502,891.423,1113.351,1613.692,2948.983
0.055,70.58,945.903,1161.296,1535.979,2948.983
0.06,73.659,989.937,1209.24,1457.924,2948.983
0.065,78.462,1020.626,1238.365,1376.088,2948.983
0.07,83.906,1029.259,1256.499,1301.756,2948.983
0.075,89.35,1033.876,1274.633,1241.049,2948.983
0.08,94.793,1038.494,1281.357,1180.341,2948.983
0.085,100.434,1014.709,1276.206,1129.472,2948.983
0.09,106.156,990.902,1271.056,1079.684,2948.983
0.095,111.879,966.959,1250.44,1035.728,2948.983
0.1,117.602,940.634,1228.797,1002.663,2948.983
0.105,122.755,914.309,1207.154,969.598,2948.983
0.11,127.828,887.984,1177.846,946.872,2948.983
0.115,132.9,862.693,1145.226,928.611,2948.983
0.12,137.972,840.946,1115.321,926.516,2948.553
0.125,146.002,819.2,1101.292,938.263,2947.756
0.13,156.383,797.453,1087.263,967.155,2946.959
0.135,166.764,780.9,1073.234,1004.353,2946.162
0.14,177.145,772.221,1072.341,1076.121,2945.365
0.145,186.083,763.541,1076.805,1145.048,2944.522
0.15,192.17,754.862,1081.269,1201.33,2942.622
0.155,198.257,756.367,1093.705,1257.989,2940.723
0.16,204.344,759.481,1108.584,1319.072,2938.823
0.165,210.468,762.596,1128.123,1377.047,2936.924
0.17,218.773,765.71,1154.38,1423.544,2934.832
0.175,227.078,785.943,1185.986,1470.042,2932.483
0.18,235.382,815.702,1219.464,1502.191,2930.133
0.185,243.687,830.022,1252.943,1531.95,2927.784
0.19,250.2,829.09,1280.268,1561.708,2925.435
0.195,256.252,812.351,1283.238,1584.113,2923.085
0.2,262.305,790.642,1260.919,1600.871,2918.563
0.205,268.358,766.091,1218.15,1611.172,2913.603
0.21,274.41,739.705,1171.796,1607.346,2908.643
0.215,280.455,712.426,1134.03,1597.115,2903.683
0.22,284.607,707.25,1116.446,1580.376,2898.724
0.225,288.76,704.37,1098.861,1562.001,2892.94
0.23,292.912,701.491,1081.716,1543.282,2886.43
0.235,297.064,706.931,1071.571,1524.563,2879.921
0.24,299.485,713.694,1061.426,1507.276,2873.411
0.245,301.426,720.457,1062.153,1490.386,2866.901
0.25,303.367,731.189,1064.093,1473.496,2859.455
0.255,305.308,744.318,1070.359,1457.19,2851.803
0.26,306.438,757.447,1079.038,1444.171,2844.151
0.265,305.349,771.926,1087.718,1431.151,2835.687
0.27,304.261,789.781,1096.993,1423.413,2825.923
0.275,303.172,807.636,1111.196,1417.036,2816.158
