Axial position (m),Contour radius (m)
-0.35,0.22691
-0.34,0.2262
-0.33,0.22549
-0.32,0.2255
-0.31,0.22601
-0.3,0.22652
-0.29,0.22703
-0.28,0.22646
-0.27,0.22542
-0.26,0.22438
-0.25,0.22335
-0.24,0.22231
-0.23,0.21946
-0.22,0.21644
-0.21,0.21341
-0.2,0.21039
-0.19,0.20685
-0.18,0.20222
-0.17,0.19759
-0.16,0.19296
-0.15,0.18834
-0.14,0.18371
-0.13,0.179
-0.12,0.17421
-0.11,0.16942
-0.1,0.16464
-0.09,0.15985
-0.08,0.15512
-0.07,0.1507
-0.06,0.14628
-0.05,0.14187
-0.04,0.13745
-0.03,0.13502
-0.02,0.13365
-0.01,0.13228
0,0.13278
0.01,0.13389
0.02,0.13803
0.03,0.14229
0.04,0.14952
0.05,0.15722
0.06,0.16492
0.07,0.17208
0.08,0.17908
0.09,0.18608
0.1,0.19309
0.11,0.20021
0.12,0.20754
0.13,0.21486
0.14,0.22219
0.15,0.22915
0.16,0.23585
0.17,0.24255
0.18,0.24926
0.19,0.25598
0.2,0.26273
0.21,0.26948
0.22,0.27623
0.23,0.28298
0.24,0.28974
